link,title,num,letter,hydrogel,sentence,figure,SEM
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),Figure 2,d,PVA-2, PVA-2 and ,"=HYPERLINK(""sem/10.1021_acsami.5b00184\am-2015-00184w_0002.jpeg"",""sem/10.1021_acsami.5b00184\am-2015-00184w_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.5b00184\SEM"",""sem/10.1021_acsami.5b00184\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),Figure 2,e,E-cGO0.5/PVA-2, E-cGO0.5/PVA-2 hydrogels.,"=HYPERLINK(""sem/10.1021_acsami.5b00184\am-2015-00184w_0002.jpeg"",""sem/10.1021_acsami.5b00184\am-2015-00184w_0002.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.5b00184\SEM"",""sem/10.1021_acsami.5b00184\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),Figure 4,c,PVA-2, PVA-2 and ,"=HYPERLINK(""sem/10.1021_acsami.5b00184\am-2015-00184w_0004.jpeg"",""sem/10.1021_acsami.5b00184\am-2015-00184w_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.5b00184\SEM"",""sem/10.1021_acsami.5b00184\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),Figure 4,f,E-cGO3.0/PVA-2, E-cGO3.0/PVA-2 hydrogels for 6 days.,"=HYPERLINK(""sem/10.1021_acsami.5b00184\am-2015-00184w_0004.jpeg"",""sem/10.1021_acsami.5b00184\am-2015-00184w_0004.jpeg"")","=HYPERLINK(""sem/10.1021_acsami.5b00184\SEM"",""sem/10.1021_acsami.5b00184\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),S3.,a-d,PVA, SEM images of the dehydrated PVA,"=HYPERLINK(""sem/10.1021_acsami.5b00184\supp_7.jpg"",""sem/10.1021_acsami.5b00184\supp_7.jpg"")","=HYPERLINK(""sem/10.1021_acsami.5b00184\SEM"",""sem/10.1021_acsami.5b00184\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),S3.,a,E-cGO/PVA-2IPN, and E-cGO/PVA-2IPN hydrogels with E-cGO   content of 0.5wt% ,"=HYPERLINK(""sem/10.1021_acsami.5b00184\supp_7.jpg"",""sem/10.1021_acsami.5b00184\supp_7.jpg"")","=HYPERLINK(""sem/10.1021_acsami.5b00184\SEM"",""sem/10.1021_acsami.5b00184\SEM"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),S3.,d,3.0, and 3.0 wt% ,"=HYPERLINK(""sem/10.1021_acsami.5b00184\supp_7.jpg"",""sem/10.1021_acsami.5b00184\supp_7.jpg"")","=HYPERLINK(""sem/10.1021_acsami.5b00184\SEM"",""sem/10.1021_acsami.5b00184\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.1c01751,"Healable, Degradable, and Conductive MXene Nanocomposite Hydrogel for Multifunctional Epidermal Sensors",Figure 1,b,MXene, the delaminated MXene sheet and ,"=HYPERLINK(""sem/10.1021_acsnano.1c01751\nn1c01751_0001.jpeg"",""sem/10.1021_acsnano.1c01751\nn1c01751_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsnano.1c01751\SEM"",""sem/10.1021_acsnano.1c01751\SEM"")"
https://pubs.acs.org/doi/10.1021/acsnano.1c01751,"Healable, Degradable, and Conductive MXene Nanocomposite Hydrogel for Multifunctional Epidermal Sensors",Figure 1,"c,d",MXene-PAA-ACC, the freeze-dried MXene-PAA-ACC hydrogel.,"=HYPERLINK(""sem/10.1021_acsnano.1c01751\nn1c01751_0001.jpeg"",""sem/10.1021_acsnano.1c01751\nn1c01751_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acsnano.1c01751\SEM"",""sem/10.1021_acsnano.1c01751\SEM"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,Figure 1,a,RSF," is RSF hydrogel, ","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"",""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0001.jpeg"")","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\SEM"",""sem/10.1021_acssuschemeng.9b05317\SEM"")"
