link,title,gel,modulus,sentence,measurement
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),"., PVA, ., PVA, ., c, E-cGO, ., E-cGO, .",modulus,"Figure 3. (a) Compressive strength of T-rGO1.0/PVA, PVA, GO1.0/PVA, and E-cGO1.0/PVA hydrogels. (b) Fracture energy and modulus of PVA and GO1.0/PVA with one to four F-T cycles. (c) Compressive stress of IPN hydrogels with E-cGO content. (d) Fracture energy and modulus of IPN gels with E-cGO content from the 3rd F-T cycle.","=HYPERLINK(""sem/10.1021_acsami.5b00184\am-2015-00184w_0003.jpeg"",""sem/10.1021_acsami.5b00184\am-2015-00184w_0003.jpeg"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),E-cGO1.0/PVA-2,compressive,"The E-cGO1.0/PVA-2 showed a compressive modulus (the slope of stress–strain curves at 10–20% strain) of 60.0 ± 5.6 kPa and a fracture strength of 17.1 ± 1.4 MPa, in contrast to 42.3 ± 2.7 kPa and 12.8 ± 0.1 MPa for PVA.",60.0±5.6kPa
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),PVA,compressive,"The E-cGO1.0/PVA-2 showed a compressive modulus (the slope of stress–strain curves at 10–20% strain) of 60.0 ± 5.6 kPa and a fracture strength of 17.1 ± 1.4 MPa, in contrast to 42.3 ± 2.7 kPa and 12.8 ± 0.1 MPa for PVA.",17.1±1.4MPa
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),.,compressive,"The E-cGO1.0/PVA-2 showed a compressive modulus (the slope of stress–strain curves at 10–20% strain) of 60.0 ± 5.6 kPa and a fracture strength of 17.1 ± 1.4 MPa, in contrast to 42.3 ± 2.7 kPa and 12.8 ± 0.1 MPa for PVA.",42.3±2.7kPa
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),"GO, ., GO, E-cGO, ., ., ., ., ., ., E-, cGO, PVA, ., ., ., ., ., ., ., ., /, 2",compressive,"       S-4  Characterizations   AFM test (CSPM 5500) was conducted on the films of diluted GO solution in a fresh mica wafer.   Attenuated total reflection-infrared (ATR-IR) (NICOLET 6700, Thermo Fisher Scientific, USA) and   X-ray photoelectron spectroscopy (XPS) (AXIS UtLTRA DLD, Shimadzu, Japan) tests were performed   on the pellet of dried GO and E-cGO powders after thorough washing with DI water and alcohol to re-  move residuals.    Raman spectrum was collected by using a Renishaw inVia Reflex micro-spectrometer (Renishaw, UK)   with an excitation wavelength of 532 nm under a static mode centering at the 1500cm -1  .   Powder X-Ray diffraction (Bruker AXS D8 Advance, Cu-K, 2θ=0.154nm) was performed with the   Bragg’s angle (2θ) values ranging from 5°to 70°.    SEM image. The cross-section of the freeze-dried hydrogels was imaged with SEM (S4800, Hitachi,   Japan). The hydrogel samples were freeze-dried and spun with thin Pt film before tests.    Element distribution spectrum were detected under 2um*2um area of the Pt-spun samples, including E-  cGO, PVA and E-cGO/PVA aerogels.   TEM image. The E-cGO/PVA hydrogels were freeze-dried, embedded in epoxy resin before they were   cut with microtome. Ultrathin section films (70nm) of the E-cGO/PVA composite were cut using a   RMC PT-XL machine and put on carbon coated copper grid before TEM. No staining was used to en-  hance the contrast.   Compressive tests. The mechanical tests of the equivalently swollen hydrogels were performed by using   an Intron model 5567 testing machine (Intron Corporation, America) at a crosshead contraction speed of   10% strain per min. At least three specimens per trail were tested in all mechanical measurements to en-  sure reliable value results. The engineering compressive stress (σc) was calculated as, σc= Load / πR 2 ,    ","=HYPERLINK(""sem/10.1021_acsami.5b00184\supp_3.jpg"",""sem/10.1021_acsami.5b00184\supp_3.jpg"")"
https://pubs.acs.org/doi/10.1021/acsami.5b00184,Tough and Biocompatible Hydrogels Based on in Situ Interpenetrating Networks of Dithiol-Connected Graphene Oxide and Poly(vinyl alcohol),"., PVA-2, T-rGO1.0/PVA-2, GO1.0/PVA-, 2, E-cGO1.0/PVA-2, ., E-cGO, .",compressive,"S5. a) Representative compressive stress-strain curves of PVA-2, T-rGO1.0/PVA-2, GO1.0/PVA-  2 and E-cGO1.0/PVA-2 hydrogels. b) Representative compressive stress-strain curves of hydrogels with   different E-cGO content.                   ","=HYPERLINK(""sem/10.1021_acsami.5b00184\supp_8.jpg"",""sem/10.1021_acsami.5b00184\supp_8.jpg"")"
https://pubs.acs.org/doi/10.1021/acsnano.1c01751,"Healable, Degradable, and Conductive MXene Nanocomposite Hydrogel for Multifunctional Epidermal Sensors",MXene-PAA-ACC,young’s,"Figure S7b shows the Young’s modulus at about 300 kPa for the MXene-PAA-ACC hydrogel with the incorporation of MXene at 5 mL of solution and the elongation at the break is about 450%, which is more stretchable than that for the skin deformation (∼30%).",300kPa
https://pubs.acs.org/doi/10.1021/acsnano.1c01751,"Healable, Degradable, and Conductive MXene Nanocomposite Hydrogel for Multifunctional Epidermal Sensors","MXene–PAA–ACC, MXene–PAA–ACC, MXene",modulus,S7. (a) Tensile stress–strain curves of the MXene–PAA–ACC hydrogel and (b) the Young’s modulus and   the elongation at break of the MXene–PAA–ACC hydrogel with different amounts of MXene sheets.   ,"=HYPERLINK(""sem/10.1021_acsnano.1c01751\supp_2.jpg"",""sem/10.1021_acsnano.1c01751\supp_2.jpg"")"
https://pubs.acs.org/doi/10.1021/acsnano.1c01751,"Healable, Degradable, and Conductive MXene Nanocomposite Hydrogel for Multifunctional Epidermal Sensors","PAA-ACC, MXene–PAA–ACC","moduli, storage",S8. Frequency dependency of the storage (G ′) and loss (G″) moduli of the PAA-ACC hydrogels and the   MXene–PAA–ACC hydrogels.  ,"=HYPERLINK(""sem/10.1021_acsnano.1c01751\supp_3.jpg"",""sem/10.1021_acsnano.1c01751\supp_3.jpg"")"
https://pubs.acs.org/doi/10.1021/acssuschemeng.9b05317,Tunable Biomimetic Hydrogels from Silk Fibroin and Nanocellulose,"B, C, RSF, RSF/CNC, RSF/CNF, RSF/BC","modulus, moduli, storage","Figure 4. Shear moduli of equilibrium water-swollen hydrogels measured in the (A) strain sweep and (B) frequency sweep mode: Storage modulus (solid symbol) and loss modulus (open symbol) (C,D) are storage modulus and tan(δ), respectively, measured at 0.05 strain % and 1 rad/s. The sample codes are (a) RSF hydrogel, (b) RSF/CNC composite hydrogel, (c) RSF/CNF composite hydrogel, and (d) RSF/BC composite hydrogel.","=HYPERLINK(""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0004.jpeg"",""sem/10.1021_acssuschemeng.9b05317\sc9b05317_0004.jpeg"")"
